"title","content"
"Tyrese Haliburton injury: Pacers' Rick Carlisle updates status for star guard ahead of NBA Finals Game 6","Haliburton is dealing with a calf injury, and it's unclear if he'll play in the must-win game"
"US hockey announces initial 6 players for 2026 Milan Olympics","The U.S. named Matthew and Brady Tkachuk, Auston Matthews, Jack Eichel, Quinn Hughes and Charlie McAvoy as its first six players for the 2026 Olympics, avoiding goaltenders on the initial roster unveiled Monday."
"David Ortiz responds to Red Sox's Rafael Devers trade: 'You've got to put your ego aside'","David Ortiz changed course after supporting Rafael Devers in early June."
"The ultimate NFL team from past 25 years: Who makes the 53-man roster, practice squad and coaching staff?","In honor of hitting the quarter-century mark, we built a 53-man roster of the best NFL players from the past 25 years. Who makes the team?"
"The WNBA Had Too Much Going On Last Night","“Wow,” Kahleah Copper tweeted yesterday evening. She was the rare WNBA player with the time to post and spectate on Wednesday. The final day of the group play stage of the league’s in-season Commissioner’s Cup tournament involved six games in one night, the first five overlapping. On account of the odd number of WNBA teams right now, Copper’s Phoenix Mercury were the lucky 13th team out. They could simply kick up their feet and take in one of the more colorful nights the league has seen. What was her ""Wow"" about? We can only guess. These were my own Wows from each game: 
VALKYRIES 71, WINGS 80"
